,url_topic,topic_words
202,bozeman-mt,bozeman mt
203,bradenton-fl,bradenton fl
204,brandon-ms,brandon ms
205,brawley-ca,brawley ca
206,brea-ca,brea ca
207,bremerton-wa,bremerton wa
208,brentwood-ca,brentwood ca
209,brentwood-tn,brentwood tn
210,bridgeport-ct,bridgeport ct
211,bridgeton-nj,bridgeton nj
212,brigham-city-ut,brigham city ut
213,brighton-co,brighton co
214,bristol-ct,bristol ct
215,bristol-tn,bristol tn
216,bristol-va,bristol va
217,broadview-heights-oh,broadview heights oh
218,brockton-ma,brockton ma
219,broken-arrow-ok,broken arrow ok
220,brookfield-il,brookfield il
221,brookfield-wi,brookfield wi
222,brookings-sd,brookings sd
223,brooklyn-center-mn,brooklyn center mn
224,brooklyn-park-mn,brooklyn park mn
225,brook-park-oh,brook park oh
226,broomfield-co,broomfield co
227,brownsburg-in,brownsburg in
228,brownsville-tx,brownsville tx
229,brownwood-tx,brownwood tx
230,brunswick-oh,brunswick oh
231,bryan-tx,bryan tx
232,buckeye-az,buckeye az
233,buena-park-ca,buena park ca
234,buffalo-grove-il,buffalo grove il
235,buffalo-ny,buffalo ny
236,bullhead-city-az,bullhead city az
237,burbank-ca,burbank ca
238,burbank-il,burbank il
239,burien-wa,burien wa
240,burleson-tx,burleson tx
241,burlingame-ca,burlingame ca
242,burlington-ia,burlington ia
243,burlington-nc,burlington nc
244,burlington-vt,burlington vt
245,burnsville-mn,burnsville mn
246,burton-mi,burton mi
247,butte-silver-bow-mt,butte silver bow mt
248,cabot-ar,cabot ar
249,cadillac-mi,cadillac mi
250,calabasas-ca,calabasas ca
251,caldwell-id,caldwell id
252,caledonia-wi,caledonia wi
253,calexico-ca,calexico ca
254,calumet-city-il,calumet city il
255,camarillo-ca,camarillo ca
256,camas-wa,camas wa
257,cambridge-ma,cambridge ma
258,camden-nj,camden nj
259,campbell-ca,campbell ca
260,canton-ga,canton ga
261,canton-oh,canton oh
262,cape-coral-fl,cape coral fl
263,cape-girardeau-mo,cape girardeau mo
264,carbondale-il,carbondale il
265,carlisle-pa,carlisle pa
266,carlsbad-ca,carlsbad ca
267,carlsbad-nm,carlsbad nm
268,carmel-in,carmel in
269,carol-stream-il,carol stream il
270,carpentersville-il,carpentersville il
271,carrboro-nc,carrboro nc
272,carrollton-ga,carrollton ga
273,carrollton-tx,carrollton tx
274,carson-ca,carson ca
275,carson-city-nv,carson city nv
276,carteret-nj,carteret nj
277,cartersville-ga,cartersville ga
278,cary-il,cary il
279,cary-nc,cary nc
280,casa-grande-az,casa grande az
281,casper-wy,casper wy
282,casselberry-fl,casselberry fl
283,castle-rock-co,castle rock co
284,cathedral-city-ca,cathedral city ca
285,cedar-city-ut,cedar city ut
286,cedar-falls-ia,cedar falls ia
287,cedar-hill-tx,cedar hill tx
288,cedar-park-tx,cedar park tx
289,cedar-rapids-ia,cedar rapids ia
290,centennial-co,centennial co
291,centerville-oh,centerville oh
292,central-falls-ri,central falls ri
293,central-la,central la
294,ceres-ca,ceres ca
295,cerritos-ca,cerritos ca
296,chambersburg-pa,chambersburg pa
297,champaign-il,champaign il
298,champlin-mn,champlin mn
299,chandler-az,chandler az
300,chanhassen-mn,chanhassen mn
301,chantilly-va,chantilly va
